enquiry_id,customer_id,received_at,channel,market,Raw_Message,product_sku,order_id_quoted
ENQ-0061,CUS-0611,2026-07-25 00:00,Website form,MY,"Saya nak pulangkan, pek masih belum dibuka. Boleh refund?",SKU-DIA-NB-40,
ENQ-0087,CUS-0696,2026-07-25 00:00,Email,ID,Bayi saya ruam merah di seluruh area popok. Mohon segera dibalas.,,
ENQ-0092,CUS-0505,2026-07-25 00:00,Email,ID,Liner-nya boleh dibuang ke kloset nggak? Nyimpennya gimana?,,
ENQ-0103,CUS-0116,2026-07-25 00:00,Marketplace Q&A,ID,Beli offline di mana ya? Apotek terdekat ada nggak?,SKU-WIP-80,
ENQ-0145,CUS-0697,2026-07-25 00:00,WhatsApp,SG,urgent leh,,
ENQ-0147,CUS-0726,2026-07-25 00:00,Instagram DM,ID,"Bayi saya 7kg, sebaiknya ambil ukuran S atau M ya?",SKU-PAD-DAY-10,
ENQ-0179,CUS-0603,2026-07-25 00:00,WhatsApp,MY,My newborn's skin is blistered from your diapers. This is not okay.,SKU-DIA-NB-40,
ENQ-0186,CUS-0714,2026-07-25 00:00,WhatsApp,MY,Pesanan ORD-01853 dah lewat seminggu. Bila nak sampai ni?,SKU-PAD-DAY-10,ORD-01853
ENQ-0188,CUS-0346,2026-07-25 00:00,Website form,SG,说好周一到，到现在都没有消息。,SKU-DIA-NB-40,
ENQ-0203,CUS-0557,2026-07-25 00:00,Marketplace Q&A,MY,Baby 4 bulan sesuai saiz apa ya? Dia agak berisi.,SKU-DIA-NB-40,
ENQ-0229,CUS-0640,2026-07-25 00:00,WhatsApp,ID,"Halo kak, mau tanya pesanan sudah sampai mana ya?",,
ENQ-0294,CUS-0376,2026-07-25 00:00,WhatsApp,MY,"Salam, boleh semak status pesanan? Dah seminggu tak sampai.",,
ENQ-0307,CUS-0306,2026-07-25 00:00,Email,ID,"datang kardusnya penyok, dua bungkus sobek.",SKU-WIP-80,
ENQ-0379,CUS-0633,2026-07-25 00:00,Email,SG,Where can buy ah? Any pharmacy near my place?,SKU-PAD-NGT-10,
ENQ-0417,CUS-0791,2026-07-25 00:00,Website form,ID,"Hi, can I check where my order is? Ordered last week.",SKU-PNT-LGT-14,
ENQ-0488,CUS-0309,2026-07-25 00:00,WhatsApp,MY,"Kotak luar ORD-00798 basah, pad di dalam dah rosak.",SKU-WIP-80,ORD-00798
ENQ-0538,CUS-0773,2026-07-25 00:00,WhatsApp,ID,Ada dijual di Guardian nggak? Di toko nggak nemu.,,
ENQ-0546,CUS-0158,2026-07-25 00:00,WhatsApp,SG,Any update on? It still says preparing.,,
ENQ-0553,CUS-0539,2026-07-25 00:00,WhatsApp,ID,"harusnya sampai Senin, sampai sekarang belum ada kabar.",,
ENQ-0592,CUS-0391,2026-07-25 00:00,Instagram DM,MY,Liner ni boleh buang dalam tandas tak? Cara simpan macam mana?,,
ENQ-0653,CUS-0581,2026-07-25 00:00,WhatsApp,ID,Kok ORD-01501 belum ada update ya? Udah seminggu lebih nih.,SKU-PAD-NGT-10,ORD-01501
ENQ-0664,CUS-0753,2026-07-25 00:00,Email,MY,I want to pause my subscription for two months. How?,,
ENQ-0678,CUS-0284,2026-07-25 00:00,Email,SG,"I want to return, the pack is unopened. How do I get a refund?",,
ENQ-0787,CUS-0264,2026-07-25 00:00,WhatsApp,MY,Boleh tukar langganan jadi setiap 6 minggu tak?,,
ENQ-0803,CUS-0687,2026-07-25 00:00,Marketplace Q&A,ID,"Tolong refund ORD-01780 ya, saya salah pesan ukuran.",,ORD-01780
ENQ-0841,CUS-0443,2026-07-25 00:00,Instagram DM,ID,"Halo kak, mau tanya pesanan ORD-01140 sudah sampai mana ya?",,ORD-01140
ENQ-0013,CUS-0267,2026-07-26 00:00,Website form,ID,Beli offline di mana ya? Apotek terdekat ada nggak?,,
ENQ-0071,CUS-0531,2026-07-26 00:00,Email,ID,Ada dijual di Guardian nggak? Di toko nggak nemu.,SKU-DIA-NB-40,
ENQ-0080,CUS-0489,2026-07-26 00:00,Email,ID,"Mau pause langganan dua bulan, caranya gimana ya?",SKU-DIA-M-38,
ENQ-0102,CUS-0555,2026-07-26 00:00,WhatsApp,SG,Please refund ORD-01430. I ordered the wrong size.,SKU-DIA-M-38,ORD-01430
ENQ-0146,CUS-0797,2026-07-26 00:00,WhatsApp,SG,My order is already 6 days late. When is it coming?,,
ENQ-0165,CUS-0673,2026-07-26 00:00,WhatsApp,MY,"Tolong refund, saya tersalah pesan saiz.",SKU-PAD-DAY-10,
ENQ-0181,CUS-0281,2026-07-26 00:00,WhatsApp,ID,arrived with the box crushed and two packs torn.,SKU-DIA-M-38,
ENQ-0217,CUS-0361,2026-07-26 00:00,WhatsApp,ID,Ada dijual di Guardian nggak? Di toko nggak nemu.,SKU-WIP-80,
ENQ-0225,CUS-0373,2026-07-26 00:00,Email,SG,My order is already 6 days late. When is it coming?,,
ENQ-0265,CUS-0596,2026-07-26 00:00,WhatsApp,ID,"Kardus luar basah, pembalut di dalamnya rusak.",,
ENQ-0324,CUS-0330,2026-07-26 00:00,Email,MY,salam,SKU-PNT-LGT-14,
ENQ-0368,CUS-0317,2026-07-26 00:00,Instagram DM,ID,Beli offline di mana ya? Apotek terdekat ada nggak?,,
ENQ-0420,CUS-0363,2026-07-26 00:00,Instagram DM,ID,"Pesanan ORD-00935 telat banget, udah lewat seminggu. Kapan sampainya?",,ORD-00935
ENQ-0492,CUS-0622,2026-07-26 00:00,Instagram DM,MY,"Hi, can I check where my order is? Ordered last week.",,
ENQ-0552,CUS-0147,2026-07-26 00:00,Email,ID,"Bayi saya 7kg, sebaiknya ambil ukuran S atau M ya?",,
ENQ-0559,CUS-0313,2026-07-26 00:00,Website form,SG,"Order wrong size, ORD-00806 can refund or not?",SKU-WIP-80,ORD-00806
ENQ-0574,CUS-0350,2026-07-26 00:00,Website form,ID,mohon dibantu,,
ENQ-0578,CUS-0736,2026-07-26 00:00,Email,SG,Please refund. I ordered the wrong size.,,
ENQ-0600,CUS-0710,2026-07-26 00:00,Email,MY,"Baby saya 7kg, patut ambil saiz S atau M?",SKU-PNT-LGT-14,
ENQ-0610,CUS-0411,2026-07-26 00:00,Instagram DM,ID,"Pesanan telat banget, udah lewat seminggu. Kapan sampainya?",,
ENQ-0672,CUS-0276,2026-07-26 00:00,WhatsApp,MY,Are your pads chlorine free? I have sensitive skin.,SKU-DIA-NB-40,
ENQ-0673,CUS-0508,2026-07-26 00:00,Instagram DM,SG,订单 还是显示准备中，可以帮我查一下吗？,,
ENQ-0675,CUS-0113,2026-07-26 00:00,WhatsApp,ID,Beli offline di mana ya? Apotek terdekat ada nggak?,,
ENQ-0701,CUS-0716,2026-07-26 00:00,Email,MY,My order is already 6 days late. When is it coming?,,
ENQ-0711,CUS-0069,2026-07-26 00:00,Instagram DM,SG,"Hi, can I check where my order is? Ordered last week.",,
ENQ-0717,CUS-0304,2026-07-26 00:00,Marketplace Q&A,ID,Any update on? It still says preparing.,,
ENQ-0741,CUS-0261,2026-07-26 00:00,Website form,MY,Pad ni bebas klorin tak? Kulit saya sensitif.,SKU-DIA-NB-40,
ENQ-0745,CUS-0483,2026-07-26 00:00,Marketplace Q&A,MY,"Selepas guna pad malam, kulit saya pedih dan ada ruam. Dah 3 hari tak hilang.",,
ENQ-0784,CUS-0210,2026-07-26 00:00,WhatsApp,SG,"Baby skin blister already from the diaper, how can like that?",SKU-PAD-NGT-10,
ENQ-0791,CUS-0433,2026-07-26 00:00,Instagram DM,ID,Are your pads chlorine free? I have sensitive skin.,,
ENQ-0801,CUS-0251,2026-07-26 00:00,Email,ID,How often should I change the night pad? Is it okay for 8 hours?,,
