enquiry_id,customer_id,market,language,verdict,gate,answer_id,answer_topic,sent_without_human,draft_reply,decided_at
ENQ-0061,CUS-0611,MY,ms,ASSIST,5-evidence,ANS-006,Refund/return,False,,2026-09-02T11:44:53Z
ENQ-0092,CUS-0505,ID,id,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Ganti setiap 3-4 jam, atau lebih cepat bila terasa penuh. Simpan kemasan yang belum dibuka di tempat sejuk dan kering. Mohon jangan dibuang ke kloset - pembalut dan liner kami tidak bisa larut.",2026-09-02T11:44:53Z
ENQ-0103,CUS-0116,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0147,CUS-0726,ID,id,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Ukuran newborn cocok hingga 5kg, ukuran S 4-8kg, ukuran M 6-11kg. Jika berat bayi Anda di antara dua ukuran, kami sarankan ambil yang lebih besar - sedikit longgar justru lebih jarang bocor daripada terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0186,CUS-0714,MY,ms,AUTO_ANSWER,0-self-serve,ANS-001,Delivery delay,True,"Kami memohon maaf atas kelewatan. ORD-01853 menunjukkan status tertunda dengan kurier. Jika ia tidak tiba dalam 3 hari bekerja, kami akan menghantar gantian tanpa sebarang kos.",2026-09-02T11:44:53Z
ENQ-0203,CUS-0557,MY,ms,AUTO_ANSWER,0-self-serve,ANS-003,Sizing,True,"Saiz newborn sesuai sehingga 5kg, saiz S 4-8kg, saiz M 6-11kg. Jika bayi anda berada di antara dua saiz, kami cadangkan pilih yang lebih besar - muat sedikit longgar kurang bocor berbanding terlalu ketat.",2026-09-02T11:44:53Z
ENQ-0229,CUS-0640,ID,id,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0294,CUS-0376,MY,ms,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0307,CUS-0306,ID,en,ASSIST,5-evidence,ANS-007,Damaged item,False,,2026-09-02T11:44:53Z
ENQ-0379,CUS-0633,SG,sg,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela is available on our own store and through our retail partners in SG. The store locator on our site lists every stockist near you.,2026-09-02T11:44:53Z
ENQ-0417,CUS-0791,ID,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0488,CUS-0309,MY,ms,ASSIST,6-authority,ANS-007,Damaged item,False,"Kami memohon maaf kerana ORD-00798 tiba dalam keadaan rosak. Sila hantar gambar pek dan kotak luar, dan kami akan menghantar gantian pada hari yang sama.",2026-09-02T11:44:53Z
ENQ-0538,CUS-0773,ID,id,AUTO_ANSWER,0-self-serve,ANS-002,Where to buy,True,Vela tersedia di toko resmi kami dan melalui mitra ritel kami di ID. Pencari toko di situs kami menampilkan seluruh penjual terdekat.,2026-09-02T11:44:53Z
ENQ-0546,CUS-0158,SG,en,ASSIST,5-evidence,ANS-000,Order status,False,,2026-09-02T11:44:53Z
ENQ-0553,CUS-0539,ID,id,ASSIST,5-evidence,ANS-001,Delivery delay,False,,2026-09-02T11:44:53Z
ENQ-0592,CUS-0391,MY,ms,AUTO_ANSWER,0-self-serve,ANS-004,Product usage,True,"Tukar setiap 3-4 jam, atau lebih awal jika berat. Simpan pek yang belum dibuka di tempat sejuk dan kering. Jangan buang ke dalam tandas - tuala dan liner kami tidak boleh dipam.",2026-09-02T11:44:53Z
