enquiry_id,customer_id,received_at,channel,market,language,topic,sentiment,is_health_issue,contact_seq,order_id,verdict,gate,reason,answer_id,handle_minutes,decided_at
ENQ-0061,CUS-0611,2026-07-25 00:00,Website form,MY,ms,Refund/return,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0087,CUS-0696,2026-07-25 00:00,Email,ID,id,Health complaint,Angry,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0092,CUS-0505,2026-07-25 00:00,Email,ID,id,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0103,CUS-0116,2026-07-25 00:00,Marketplace Q&A,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0145,CUS-0697,2026-07-25 00:00,WhatsApp,SG,sg,Unclear,Angry,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0147,CUS-0726,2026-07-25 00:00,Instagram DM,ID,id,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0179,CUS-0603,2026-07-25 00:00,WhatsApp,MY,en,Health complaint,Angry,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
ENQ-0186,CUS-0714,2026-07-25 00:00,WhatsApp,MY,ms,Delivery delay,Neutral,False,1,ORD-01853,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-001,1,2026-08-25T14:24:04Z
ENQ-0188,CUS-0346,2026-07-25 00:00,Website form,SG,zh,Unclear,Frustrated,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0203,CUS-0557,2026-07-25 00:00,Marketplace Q&A,MY,ms,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0229,CUS-0640,2026-07-25 00:00,WhatsApp,ID,id,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0294,CUS-0376,2026-07-25 00:00,WhatsApp,MY,ms,Order status,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0307,CUS-0306,2026-07-25 00:00,Email,ID,en,Damaged item,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-007,6,2026-08-25T14:24:04Z
ENQ-0379,CUS-0633,2026-07-25 00:00,Email,SG,sg,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in sg, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0417,CUS-0791,2026-07-25 00:00,Website form,ID,en,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0488,CUS-0309,2026-07-25 00:00,WhatsApp,MY,ms,Damaged item,Neutral,False,1,ORD-00798,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-007,6,2026-08-25T14:24:04Z
ENQ-0538,CUS-0773,2026-07-25 00:00,WhatsApp,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0546,CUS-0158,2026-07-25 00:00,WhatsApp,SG,en,Order status,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0553,CUS-0539,2026-07-25 00:00,WhatsApp,ID,id,Delivery delay,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0592,CUS-0391,2026-07-25 00:00,Instagram DM,MY,ms,Product usage,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-004,1,2026-08-25T14:24:04Z
ENQ-0653,CUS-0581,2026-07-25 00:00,WhatsApp,ID,id,Order status,Frustrated,False,1,ORD-01501,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-000,1,2026-08-25T14:24:04Z
ENQ-0664,CUS-0753,2026-07-25 00:00,Email,MY,en,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in en, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0678,CUS-0284,2026-07-25 00:00,Email,SG,en,Refund/return,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0787,CUS-0264,2026-07-25 00:00,WhatsApp,MY,ms,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0803,CUS-0687,2026-07-25 00:00,Marketplace Q&A,ID,ms,Refund/return,Neutral,False,1,ORD-01780,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0841,CUS-0443,2026-07-25 00:00,Instagram DM,ID,id,Order status,Neutral,False,1,ORD-01140,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-000,1,2026-08-25T14:24:04Z
ENQ-0013,CUS-0267,2026-07-26 00:00,Website form,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0071,CUS-0531,2026-07-26 00:00,Email,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0080,CUS-0489,2026-07-26 00:00,Email,ID,id,Subscription,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-005,1,2026-08-25T14:24:04Z
ENQ-0102,CUS-0555,2026-07-26 00:00,WhatsApp,SG,en,Refund/return,Neutral,False,1,ORD-01430,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0146,CUS-0797,2026-07-26 00:00,WhatsApp,SG,en,Delivery delay,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0165,CUS-0673,2026-07-26 00:00,WhatsApp,MY,ms,Refund/return,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0181,CUS-0281,2026-07-26 00:00,WhatsApp,ID,en,Damaged item,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-007,6,2026-08-25T14:24:04Z
ENQ-0217,CUS-0361,2026-07-26 00:00,WhatsApp,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0225,CUS-0373,2026-07-26 00:00,Email,SG,en,Delivery delay,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0265,CUS-0596,2026-07-26 00:00,WhatsApp,ID,en,Damaged item,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-007,6,2026-08-25T14:24:04Z
ENQ-0324,CUS-0330,2026-07-26 00:00,Email,MY,ms,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0368,CUS-0317,2026-07-26 00:00,Instagram DM,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0420,CUS-0363,2026-07-26 00:00,Instagram DM,ID,id,Delivery delay,Neutral,False,1,ORD-00935,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-001,1,2026-08-25T14:24:04Z
ENQ-0492,CUS-0622,2026-07-26 00:00,Instagram DM,MY,en,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0552,CUS-0147,2026-07-26 00:00,Email,ID,id,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0559,CUS-0313,2026-07-26 00:00,Website form,SG,sg,Refund/return,Neutral,False,1,ORD-00806,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0574,CUS-0350,2026-07-26 00:00,Website form,ID,id,Unclear,Neutral,False,1,,CLARIFY,2-clarity,no topic could be established from the message,,16,2026-08-25T14:24:04Z
ENQ-0578,CUS-0736,2026-07-26 00:00,Email,SG,en,Refund/return,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-006,6,2026-08-25T14:24:04Z
ENQ-0600,CUS-0710,2026-07-26 00:00,Email,MY,ms,Sizing,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in ms, no human touched it",ANS-003,1,2026-08-25T14:24:04Z
ENQ-0610,CUS-0411,2026-07-26 00:00,Instagram DM,ID,id,Delivery delay,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0672,CUS-0276,2026-07-26 00:00,WhatsApp,MY,en,Ingredients,Neutral,False,1,,ASSIST,6-authority,approved answer is drafted but policy requires a human to send,ANS-008,6,2026-08-25T14:24:04Z
ENQ-0673,CUS-0508,2026-07-26 00:00,Instagram DM,SG,zh,Order status,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0675,CUS-0113,2026-07-26 00:00,WhatsApp,ID,id,Where to buy,Neutral,False,1,,AUTO_ANSWER,0-self-serve,"approved answer sent in id, no human touched it",ANS-002,1,2026-08-25T14:24:04Z
ENQ-0701,CUS-0716,2026-07-26 00:00,Email,MY,en,Delivery delay,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-001,6,2026-08-25T14:24:04Z
ENQ-0711,CUS-0069,2026-07-26 00:00,Instagram DM,SG,en,Order status,Neutral,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0717,CUS-0304,2026-07-26 00:00,Marketplace Q&A,ID,en,Order status,Frustrated,False,1,,ASSIST,5-evidence,the reply needs an order reference and none was quoted,ANS-000,6,2026-08-25T14:24:04Z
ENQ-0741,CUS-0261,2026-07-26 00:00,Website form,MY,en,Health complaint,Neutral,True,1,,ESCALATE,1-safety,customer describes a physical reaction - never auto-answered,,16,2026-08-25T14:24:04Z
